idx_NUTS3,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BE325,48,47,49,50,45,49,47,48,49,47,50,48,47,45,48,49,46,46,50,45,45,45,48,48,49,50,45,46,48,49,49,46,47,48,47,48
BE326,49,45,50,50,47,49,46,46,48,46,46,45,50,50,50,50,45,47,49,46,50,47,50,49,50,45,48,50,48,47,46,46,47,50,50,48
BE327,50,50,49,48,48,46,49,50,45,47,50,48,48,47,49,47,45,50,45,49,49,48,46,48,49,46,46,48,49,47,49,49,47,47,50,47
BE331,45,45,50,47,50,50,48,46,45,47,47,50,46,45,49,50,45,46,45,46,46,46,45,47,49,47,45,46,45,49,47,49,49,50,49,46
BE332,47,48,48,47,48,48,48,46,46,46,48,48,48,50,50,50,47,50,45,48,45,48,49,45,46,48,45,48,50,46,49,48,47,47,46,45
BE334,47,48,50,49,48,47,47,46,48,48,49,50,50,45,49,48,50,49,50,46,48,47,49,46,48,50,47,49,47,50,47,49,48,48,50,45
BE335,46,50,49,45,49,49,45,50,46,45,47,48,46,49,45,47,48,48,50,45,50,46,50,50,46,45,47,45,48,50,47,46,50,50,46,47
BE336,46,50,48,49,47,45,49,49,45,47,47,49,46,49,46,50,46,48,45,46,48,48,45,47,49,46,48,46,45,46,50,48,49,45,49,45
BE341,50,49,45,46,49,47,50,49,47,49,46,50,50,48,50,50,46,47,45,48,50,49,49,49,47,45,46,49,47,49,47,48,50,49,46,46
BE342,48,50,50,46,50,48,45,47,45,48,47,47,45,48,46,49,46,47,50,45,46,47,46,50,49,46,50,47,49,47,49,45,45,45,48,45
BE343,49,45,45,45,46,49,49,46,47,48,49,49,46,50,48,49,48,45,50,49,47,45,47,49,50,46,46,50,47,50,50,45,48,48,47,49
BE344,45,49,48,45,49,45,46,49,48,45,45,48,47,49,49,47,50,50,46,46,45,46,45,46,49,48,48,49,45,49,45,46,47,50,47,46
BE345,47,45,49,48,47,49,47,45,46,47,45,49,49,45,48,48,50,47,49,49,49,46,50,45,49,48,45,48,50,48,50,48,46,45,46,46
BE351,45,45,48,45,48,49,47,50,45,49,50,45,48,49,47,47,46,45,50,48,49,47,49,48,48,47,46,45,49,50,47,47,48,45,46,50
BE352,48,50,47,49,45,47,49,46,49,50,48,46,49,45,49,46,48,49,48,46,49,45,49,45,46,46,46,48,48,45,49,46,46,49,46,50
BE353,47,46,45,48,49,46,47,47,48,46,46,45,45,47,50,48,47,45,46,45,49,50,50,48,45,50,50,46,45,45,49,49,48,49,46,47
BEZZZ,45,47,49,48,50,50,46,45,46,47,50,50,47,49,47,45,45,49,50,45,49,50,46,47,47,49,48,45,46,47,45,46,50,46,45,45
BG311,46,49,48,45,49,46,46,46,49,49,50,47,49,50,47,46,47,49,45,45,50,47,45,50,46,49,45,45,46,46,50,46,50,49,49,49
BG312,47,49,45,47,45,45,47,45,47,48,47,50,45,47,49,50,50,45,46,45,47,46,45,50,46,45,47,47,46,50,50,48,50,49,47,50
BG313,49,49,45,50,48,48,46,46,45,47,46,45,46,45,50,47,46,50,50,47,50,48,46,49,46,49,48,46,50,49,47,45,48,47,45,49
BG314,45,47,50,45,47,48,49,50,46,46,46,50,46,47,50,49,47,48,45,47,49,50,49,49,47,50,48,45,50,46,48,49,47,46,48,49
BG315,49,49,50,45,48,46,48,50,48,45,49,47,48,50,47,48,45,45,48,45,48,45,47,49,49,47,46,47,46,50,46,46,50,47,47,47
BG321,46,49,50,50,50,47,46,47,49,50,50,46,49,46,45,49,46,46,47,48,45,49,49,46,45,48,46,48,49,49,50,45,45,47,46,48
BG322,49,48,46,50,50,50,45,46,49,46,45,47,49,50,45,48,45,48,46,47,45,46,50,46,49,46,47,49,48,45,47,47,49,49,46,46
BG323,45,48,47,50,45,48,50,50,45,46,46,45,47,45,49,48,49,49,50,50,46,46,48,47,49,47,47,46,47,50,46,46,47,47,47,49
BG324,45,47,49,45,48,47,48,47,50,45,50,45,45,45,50,48,49,49,49,48,50,48,50,47,49,46,45,49,50,49,48,48,49,45,49,47
BG325,47,45,45,47,47,50,45,50,48,50,49,48,46,46,47,46,49,45,46,50,48,45,47,48,48,48,48,48,47,45,46,46,45,46,50,45
BG331,48,47,49,49,49,45,48,48,50,49,50,47,45,46,49,45,47,45,50,48,45,50,46,46,49,48,48,47,46,49,45,46,50,47,45,50
BG332,46,49,47,47,46,47,47,49,49,49,47,47,49,49,48,50,45,45,46,49,48,48,48,48,50,49,48,47,47,48,49,49,50,49,50,45
BG333,49,48,46,48,49,49,46,49,47,46,45,50,50,48,49,48,45,45,46,47,49,46,50,46,46,47,49,50,48,45,50,49,45,46,49,47
BG334,49,45,46,50,47,45,50,49,48,46,48,50,45,47,48,49,50,48,45,49,47,47,50,47,47,50,49,48,49,47,49,46,47,50,45,48
BG341,46,50,48,46,46,46,50,49,45,48,48,48,48,45,47,48,48,48,49,50,45,49,48,48,47,48,48,45,48,47,49,46,47,46,46,49
BG342,47,49,47,45,49,50,47,50,47,49,46,46,47,48,45,46,47,46,49,48,50,47,50,49,50,47,46,48,46,45,46,46,50,50,45,46
BG343,50,46,46,49,48,46,48,48,47,45,48,50,50,49,49,45,47,47,47,48,50,45,46,48,47,49,45,46,45,45,50,46,46,47,49,49
BG344,47,45,46,47,46,48,50,50,45,47,47,45,45,49,48,46,48,48,49,49,48,50,47,50,45,45,47,46,49,49,48,47,49,45,45,47
BG411,47,49,49,50,48,48,50,48,48,49,50,48,47,45,49,45,50,47,47,50,47,47,49,50,49,47,50,46,49,50,49,47,45,49,49,46
BG412,47,47,48,46,45,48,47,46,49,49,50,45,46,46,46,50,47,49,46,48,47,50,45,46,47,45,45,45,49,45,49,49,46,48,48,46
BG413,46,49,49,46,49,45,45,50,46,45,46,49,49,45,50,45,45,46,50,46,47,46,49,50,45,48,49,47,50,45,47,47,47,50,49,47
BG414,45,47,46,49,47,45,48,46,45,50,47,45,45,47,49,45,50,49,46,47,46,49,47,45,47,48,46,47,46,47,47,46,49,46,45,47
BG415,47,45,49,47,49,49,45,50,45,49,46,45,46,47,50,49,48,45,47,46,49,46,46,48,46,49,49,49,45,49,46,50,50,49,45,45
BG421,47,46,45,45,48,46,46,46,46,47,45,48,49,48,48,49,46,46,47,49,49,47,45,48,48,48,50,46,45,49,48,47,49,47,49,47
BG422,47,45,45,48,45,48,48,47,47,49,50,45,48,48,47,45,45,46,46,46,49,45,50,45,46,46,45,49,49,48,45,49,45,46,46,48
BG423,45,50,50,47,48,46,45,49,47,49,49,47,47,50,46,47,46,48,48,50,50,49,47,49,49,48,47,45,47,48,48,48,45,48,47,46
BG424,49,49,49,47,50,50,46,50,45,47,46,50,49,45,46,46,45,47,47,46,50,48,48,47,46,47,48,48,48,46,45,50,48,48,46,49
BG425,45,46,49,50,45,50,50,48,47,49,47,50,45,49,49,45,47,47,48,47,45,46,46,50,50,49,50,45,47,46,47,47,50,49,49,45
BGZZZ,49,49,49,48,50,45,49,49,47,49,45,47,49,50,49,50,50,47,46,46,47,47,48,49,47,48,49,49,45,47,50,46,49,50,47,45
CZ010,48,47,48,50,47,47,49,49,46,45,47,45,50,45,49,48,47,50,48,47,48,47,48,45,48,46,48,48,46,47,45,45,46,45,48,47
CZ020,48,46,46,46,47,48,50,49,49,45,47,48,46,49,46,48,46,47,49,50,47,46,50,48,47,46,49,48,50,48,48,46,50,48,48,48
CZ031,50,45,47,49,50,49,50,45,45,48,47,48,48,49,49,47,49,49,50,47,49,48,47,49,49,48,48,49,46,46,47,48,45,50,47,48
CZ032,49,46,46,48,46,47,46,45,46,46,47,45,45,48,46,48,49,47,45,48,45,49,49,46,46,45,49,46,50,47,46,45,46,47,49,46
CZ041,46,47,49,47,50,49,47,50,46,48,49,49,48,46,46,48,46,48,50,50,49,49,45,46,46,49,50,46,47,49,49,48,49,50,46,49
CZ042,48,49,47,50,49,50,50,50,49,49,50,45,48,48,50,47,48,47,50,49,47,47,49,47,50,49,46,46,46,48,48,45,45,45,48,49
CZ051,50,47,49,47,48,45,46,49,48,49,46,49,50,50,50,48,48,47,47,48,49,46,50,50,46,46,48,45,48,49,46,50,46,46,46,48
CZ052,49,50,45,50,49,48,47,50,45,49,50,46,50,47,50,45,50,46,47,49,49,46,50,49,50,49,48,47,46,50,50,48,48,49,49,49
CZ053,48,49,49,47,45,48,50,46,50,48,47,46,50,50,47,50,47,49,47,50,45,46,45,46,50,45,50,45,46,46,49,47,50,49,47,47
CZ063,48,46,46,48,47,47,50,47,48,46,45,49,45,49,46,50,50,45,46,48,46,46,49,50,49,50,50,48,48,47,47,49,45,48,48,46
CZ064,48,49,46,46,47,48,49,47,46,47,46,47,50,50,46,45,46,49,49,46,49,48,49,50,48,48,46,48,49,48,46,48,49,50,49,48
CZ071,50,45,47,45,47,45,50,49,50,48,48,46,46,48,49,46,50,46,45,49,49,47,46,49,48,45,48,46,48,47,50,47,46,47,48,45
CZ072,50,46,46,45,48,46,48,50,50,49,46,46,49,48,46,46,45,49,46,48,48,46,47,50,49,47,48,45,46,45,50,45,47,46,50,45
CZ080,46,47,48,47,48,50,49,45,50,48,48,50,47,47,46,50,47,47,47,50,45,49,49,46,48,46,47,50,50,46,45,48,49,46,46,49
CZZZZ,50,48,50,50,45,48,47,48,49,50,47,47,45,50,45,50,49,49,47,45,50,45,50,50,49,47,46,48,50,50,50,46,50,48,48,45
DK011,48,50,47,48,50,46,48,49,50,48,49,45,47,47,49,46,47,49,50,50,48,47,48,45,47,45,47,46,48,46,46,48,47,48,48,48
DK012,49,47,46,50,46,50,48,49,50,48,45,46,50,50,47,50,46,49,46,50,50,50,50,48,47,50,50,50,49,48,46,48,47,50,48,49
DK013,46,49,46,49,50,50,50,50,48,45,46,48,48,45,48,47,45,47,50,45,49,46,46,50,48,47,45,46,45,49,49,49,47,48,50,46
DK014,47,50,48,45,46,49,46,45,46,46,48,49,48,48,45,50,48,50,46,47,46,45,45,49,45,47,50,49,46,47,48,45,49,45,46,50
DK021,47,50,45,50,49,47,46,45,48,47,45,45,48,50,50,48,46,46,47,47,46,47,48,50,48,50,47,46,49,50,47,49,49,49,47,45
DK022,50,50,49,47,50,50,47,46,48,45,50,47,46,46,48,48,45,46,48,48,47,49,45,45,47,48,45,50,46,45,46,46,49,49,45,46
DK031,48,47,50,48,49,50,49,50,49,48,48,47,49,48,45,50,48,47,49,49,47,50,48,49,50,45,46,49,49,45,48,46,50,46,48,49
DK032,47,48,46,48,48,47,49,47,47,50,45,47,49,46,46,45,49,47,45,47,50,50,46,48,50,45,45,49,45,48,50,47,48,47,49,46
DK041,46,45,46,47,47,48,48,47,46,47,47,45,47,47,45,49,45,49,48,45,48,47,50,50,49,46,47,50,50,46,47,45,50,45,50,48
DK042,49,47,47,46,50,45,47,48,49,50,46,45,48,46,50,48,50,46,48,46,49,46,48,46,49,49,50,49,46,50,50,46,46,50,45,45
DK050,45,46,45,49,46,50,48,50,46,50,45,45,46,48,45,47,46,49,45,48,45,48,46,45,48,49,48,47,48,50,45,45,46,50,50,46
DKZZZ,47,46,49,46,48,45,47,45,46,45,48,49,50,50,45,50,46,49,50,46,49,45,49,47,48,50,49,45,49,45,45,50,47,46,48,50
DE111,47,50,49,47,46,47,48,50,49,46,47,50,46,46,46,49,47,45,46,47,46,47,45,50,49,49,47,47,46,48,46,45,47,49,50,45
DE112,45,48,46,49,45,46,45,49,47,50,47,47,46,49,46,47,50,48,47,47,49,45,48,47,50,48,45,45,47,48,48,45,48,46,45,48
DE113,48,48,45,45,45,49,45,45,45,48,49,50,47,48,46,46,45,50,45,45,49,46,50,47,50,47,45,46,46,50,50,45,46,47,46,45
DE114,45,46,47,48,47,48,46,48,45,49,50,49,46,49,47,48,45,49,46,45,47,45,47,45,45,48,50,47,50,46,49,47,48,48,47,46
DE115,46,50,47,47,50,46,50,47,49,45,47,49,47,50,47,46,47,47,47,50,46,45,46,47,49,50,48,45,47,49,48,45,50,45,49,49
DE116,47,48,48,49,47,47,48,47,50,50,47,46,49,46,45,45,50,45,49,46,49,50,48,48,47,45,50,47,45,46,49,48,49,47,45,49
DE117,49,45,50,47,45,46,46,46,47,48,47,45,50,46,48,46,48,45,49,47,46,48,50,50,48,50,49,50,50,45,48,49,50,48,49,46
DE118,45,46,49,45,48,47,49,50,49,45,49,48,46,46,46,45,46,50,45,47,49,50,48,49,47,50,45,47,47,46,50,50,48,47,47,45
DE119,46,49,47,49,50,49,48,50,46,47,45,48,50,46,48,49,45,47,45,45,48,49,47,50,45,49,46,50,47,45,48,47,49,49,47,47
DE11A,50,48,46,49,49,46,45,47,48,46,49,45,45,50,48,46,46,50,46,46,48,49,47,48,45,49,46,49,48,50,49,47,45,47,48,50
DE11B,46,45,48,46,50,47,50,47,45,45,48,46,47,46,50,47,45,47,46,47,46,50,45,48,48,50,47,48,50,45,45,47,48,50,50,50
DE11C,46,49,49,48,50,47,45,49,50,47,47,47,49,45,47,47,47,49,48,46,49,47,50,46,46,46,48,49,47,48,47,45,47,49,45,46
DE11D,50,50,49,49,49,48,46,47,48,47,49,48,47,45,46,47,46,50,46,47,46,48,48,49,48,50,46,46,47,49,50,48,45,46,49,47
DE121,47,50,47,48,45,47,47,46,50,49,45,48,48,48,46,45,46,50,48,48,50,50,50,50,48,48,48,50,46,48,48,46,50,47,48,50
DE122,47,48,50,49,46,48,47,49,50,49,48,45,46,49,48,50,46,50,50,45,49,46,48,46,47,50,50,47,48,47,46,49,47,47,49,46
DE123,45,49,45,45,45,46,45,50,45,47,46,50,46,47,45,48,46,50,50,50,45,46,49,47,45,46,46,47,49,50,49,49,46,50,50,46
DE124,47,49,49,47,49,49,50,50,45,49,47,50,48,48,48,50,50,47,49,49,50,48,47,49,50,46,48,47,46,48,49,49,49,47,45,45
DE125,48,47,47,47,45,47,49,50,49,45,48,46,47,50,50,49,45,45,47,45,47,46,45,45,48,47,50,50,47,46,48,46,47,47,45,49
DE126,47,47,48,50,49,48,47,46,50,45,49,46,49,45,46,47,47,47,45,48,48,50,46,49,50,47,50,45,45,49,47,45,49,49,46,45
DE127,48,49,45,46,47,45,50,46,45,50,45,48,50,48,47,50,46,48,47,49,49,47,46,50,50,47,45,47,47,47,46,46,49,46,48,46
DE128,47,48,46,49,48,48,46,45,50,47,46,48,50,49,45,45,50,49,48,47,50,50,49,48,48,48,48,46,46,49,46,45,49,46,47,49
DE129,45,45,47,46,48,50,45,46,46,46,46,45,49,47,49,49,45,46,45,46,50,47,50,48,45,46,47,48,50,49,47,47,50,46,47,50
DE12A,46,50,50,45,50,49,50,48,48,50,46,46,48,45,50,49,50,49,48,45,47,48,47,47,47,46,48,45,48,48,46,48,50,46,50,50
DE12B,50,47,45,49,49,49,47,48,49,50,49,45,45,45,46,45,49,47,45,46,49,47,49,49,49,48,47,50,50,45,47,47,49,46,50,45
DE12C,48,45,45,45,47,47,47,50,45,46,45,45,50,48,48,45,49,48,47,50,47,48,48,47,49,48,47,49,47,49,50,47,46,45,46,48
DE131,45,49,50,46,47,47,46,50,49,49,45,45,45,50,48,45,47,48,50,45,50,50,45,47,49,45,48,45,48,48,50,48,48,46,46,48
DE132,49,45,46,47,45,45,46,48,50,47,49,46,50,50,48,47,50,50,46,49,45,47,50,48,45,47,47,45,48,47,46,47,46,49,48,50
DE133,46,50,45,48,48,49,46,50,46,50,50,48,50,47,46,48,48,50,50,49,45,50,48,45,46,46,47,46,47,49,46,47,46,50,50,46
DE134,49,48,45,50,45,46,49,46,47,45,49,46,47,45,48,49,50,48,47,46,48,50,47,45,46,49,47,48,47,49,45,46,49,46,48,50
DE135,46,47,50,49,45,46,45,50,45,47,49,48,47,50,49,50,47,45,45,49,48,50,48,50,49,45,46,50,47,48,46,47,48,50,45,48
DE136,49,45,48,46,49,47,50,50,45,47,48,48,47,45,50,47,49,48,48,49,46,47,49,48,50,49,45,49,49,46,47,45,45,47,45,48
DE137,50,48,47,47,48,46,48,45,45,48,50,49,47,50,50,50,45,45,49,49,50,49,50,48,47,46,48,45,45,46,45,45,50,50,47,47
DE138,50,45,48,48,48,47,48,48,48,48,49,50,48,48,46,46,46,46,50,46,48,48,46,45,48,49,46,45,49,47,47,45,48,49,50,47
DE139,47,47,49,48,48,49,45,48,49,46,45,49,48,50,49,49,47,45,50,48,47,45,46,50,48,45,50,49,47,45,48,50,47,46,46,45
DE13A,45,50,50,47,50,50,49,48,49,48,49,45,49,45,50,46,50,46,50,47,50,45,46,49,46,47,49,47,45,46,49,45,45,47,49,46
DE141,48,48,45,47,49,45,48,47,50,45,46,46,47,48,46,46,46,47,50,46,45,49,45,49,50,48,46,50,49,45,45,47,46,47,47,50
DE142,47,48,50,50,45,47,45,45,49,49,46,45,45,46,49,45,49,45,48,49,47,46,48,45,45,48,46,46,50,48,45,46,49,47,49,48
DE143,47,47,50,50,47,48,46,48,45,48,50,47,45,46,48,50,48,45,48,46,46,46,50,50,45,50,47,48,46,45,50,48,49,48,46,48
DE144,46,49,47,47,49,46,49,48,48,47,47,46,46,50,49,49,49,46,46,50,48,48,46,48,46,50,49,48,49,49,46,49,46,46,47,46
DE145,50,47,48,50,45,46,46,48,48,45,50,46,49,49,47,50,50,47,49,50,50,47,47,47,47,46,49,50,46,49,47,49,46,45,45,45
DE146,49,50,45,45,49,45,48,49,45,47,48,50,49,50,50,45,49,47,45,49,48,47,46,49,49,46,47,48,50,45,45,49,49,49,46,50
DE147,49,47,50,47,50,47,45,45,50,45,48,49,45,45,46,46,49,48,50,48,46,50,50,48,45,50,50,46,45,46,49,47,49,50,47,48
DE148,49,50,48,48,46,46,47,49,50,47,47,47,45,50,49,49,48,50,45,49,49,46,45,50,45,50,47,45,45,50,45,50,46,46,48,47
DE149,47,46,47,48,47,47,48,45,48,48,49,49,49,48,45,48,50,48,49,49,46,47,50,45,48,49,45,48,49,48,50,50,47,48,46,50
DE211,48,47,49,48,47,49,48,45,45,45,47,49,46,47,46,49,50,50,50,46,45,50,50,48,50,49,50,46,45,46,48,47,50,46,45,45
DE212,50,48,46,45,46,47,48,45,49,49,48,47,46,45,48,46,50,49,50,50,46,48,48,46,48,48,45,47,50,47,48,45,46,48,45,48
DE213,47,45,47,48,45,46,47,47,49,45,46,49,50,50,46,48,46,48,45,49,46,48,50,47,50,45,47,47,45,47,50,47,48,45,45,45
DE214,46,46,45,46,49,45,48,49,47,45,50,50,47,47,45,49,46,45,49,47,47,50,50,47,49,50,46,48,50,47,47,45,49,45,49,48
DE215,45,46,47,50,46,48,49,47,45,49,47,49,46,50,46,45,47,50,46,46,47,46,45,46,49,49,46,47,45,47,49,50,47,49,49,46
DE216,48,45,48,45,48,45,47,47,50,46,48,50,48,47,45,47,50,47,47,49,47,49,49,48,50,50,50,50,47,46,45,49,50,49,49,50
DE217,45,49,46,45,47,47,48,46,45,46,45,46,45,48,50,48,50,50,48,48,49,47,50,49,45,46,47,49,50,50,50,46,45,50,46,47
DE218,47,49,45,49,50,47,47,47,50,47,48,46,50,48,49,46,47,50,45,46,48,49,48,47,47,49,48,46,45,46,46,50,46,45,46,49
DE219,49,49,50,50,49,49,46,50,45,49,46,47,49,48,47,45,47,47,50,49,46,45,50,49,48,46,46,49,47,50,50,47,49,49,46,49
DE21A,48,50,45,50,45,46,46,45,46,49,46,49,46,46,49,45,47,45,47,48,49,49,50,46,50,45,46,47,45,50,46,45,48,47,46,46
DE21B,49,49,49,45,50,45,50,48,49,45,46,50,47,47,45,45,50,48,48,45,46,48,49,48,46,48,48,50,45,50,48,45,48,45,49,48
DE21C,50,49,50,45,48,50,49,45,50,47,49,46,46,48,49,45,45,45,50,48,50,49,50,47,45,45,46,50,47,46,45,48,45,45,50,45
DE21D,46,46,48,46,45,48,48,49,47,47,50,45,46,48,48,46,45,46,47,50,50,48,48,45,49,47,49,46,46,50,45,47,49,47,47,45
DE21E,48,48,47,46,48,48,45,49,46,48,47,45,49,46,45,49,45,47,46,50,45,48,50,50,48,47,47,47,49,45,45,49,50,47,48,46
DE21F,46,47,49,50,47,49,49,50,47,45,50,47,46,50,48,50,48,46,49,47,48,46,46,46,50,48,47,46,50,48,48,45,47,50,46,45
DE21G,49,47,50,50,49,46,49,45,48,48,49,45,48,47,50,50,45,47,47,48,46,50,49,46,49,46,45,48,50,46,50,50,47,45,45,50
DE21H,50,49,47,49,49,49,47,48,50,45,48,46,49,47,47,46,50,46,46,47,49,50,49,50,46,48,49,50,47,47,49,45,48,49,50,45
DE21I,49,47,47,48,47,49,45,50,45,45,47,49,49,50,48,45,48,48,47,48,45,49,47,46,48,46,49,45,47,49,47,45,45,45,46,45
DE21J,49,46,50,50,50,48,46,49,50,48,48,45,45,49,46,49,50,49,50,49,47,46,50,48,49,49,45,46,48,48,45,45,45,45,50,46
DE21K,49,46,49,49,50,46,49,46,49,48,46,47,45,50,45,48,50,49,48,47,49,48,46,50,48,50,49,47,49,46,50,49,49,46,48,50
DE21L,46,45,45,48,48,45,45,49,49,50,46,48,46,49,49,47,50,47,45,45,47,46,45,46,45,45,48,47,49,49,49,50,49,45,48,50
DE21M,48,48,49,50,48,47,46,47,49,45,50,46,49,47,48,47,46,50,49,48,48,48,50,48,47,50,46,45,47,50,45,50,45,46,48,46
DE21N,47,45,45,45,46,50,47,49,50,47,50,48,46,45,48,47,45,47,48,48,46,48,49,49,50,46,50,49,47,47,45,48,45,46,50,46
DE221,50,45,49,48,48,49,46,50,49,50,49,50,50,47,45,45,46,49,49,46,47,46,50,46,47,45,50,48,45,45,49,48,48,47,49,46
DE222,48,49,48,49,49,45,47,48,47,46,49,45,48,47,46,45,47,49,47,47,49,45,50,47,50,46,49,49,50,49,46,48,46,48,47,47
DE223,50,47,48,47,47,49,46,48,45,46,47,48,50,48,46,47,49,48,45,46,48,50,46,50,49,48,48,50,48,50,45,47,47,47,45,50
DE224,49,47,48,50,50,48,47,45,47,46,46,49,45,47,46,45,48,50,46,49,45,50,47,45,47,47,46,49,47,48,49,48,50,50,48,49
DE225,49,50,48,47,45,46,49,45,49,48,50,46,48,49,46,50,50,50,47,46,46,50,45,47,47,47,50,48,50,48,45,48,46,45,45,50
DE226,50,46,49,49,50,46,50,49,48,45,47,45,50,49,48,47,46,45,45,47,45,46,46,47,49,46,47,47,45,46,46,47,46,47,49,50
DE227,47,46,49,50,45,48,47,47,50,50,49,45,50,50,50,45,46,45,45,49,48,49,45,45,49,48,47,50,46,50,49,49,47,46,49,47
DE228,46,50,48,48,46,49,45,46,50,45,50,48,48,49,49,46,50,49,47,48,47,49,45,49,50,49,49,48,47,47,47,47,46,49,49,48
DE229,45,49,45,50,49,50,47,49,47,47,47,45,48,49,48,49,46,47,47,50,47,46,48,47,46,47,50,49,45,45,49,49,45,50,45,50
DE22A,47,46,47,47,46,46,49,45,45,48,50,45,49,49,45,46,46,48,48,45,48,45,50,48,48,49,50,47,50,46,45,50,49,49,50,45
DE22B,49,48,49,50,46,49,47,49,45,48,49,50,49,50,50,47,49,49,50,50,49,49,45,46,50,46,49,46,49,46,48,50,45,48,49,47
DE22C,49,46,48,46,49,49,46,45,48,46,47,50,45,45,47,45,45,49,48,47,45,50,46,45,50,49,48,47,45,50,49,46,47,49,47,45
